Date	Time	Latitude	Longitude	Depth	Magnitude	population_impacted	Magnitude_log	Depth_log	population_impacted_log	Depth_inverse	Depth_inverse_log	cluster_kmeans	cluster_dbscan	dangerosite_kmeans	dangerosite_dbscan
01/02/1965	13:44:18	19.246	145.616	131.6	6.0	0	1.9459101490553132	4.887337077751762	0.0	0.007541478129713424	0.007513183350783218	0	0	faible	faible
01/04/1965	11:29:49	1.863	127.352	80.0	5.8	34100	1.916922612182061	4.394449154672439	10.43708198835482	0.012345679012345678	0.012270092591814347	2	1	elevee	elevee
01/05/1965	18:05:58	-20.579	-173.972	20.0	6.2	4798	1.9740810260220096	3.044522437723423	8.476162841858246	0.047619047619047616	0.04652001563489285	2	1	elevee	elevee
01/08/1965	18:49:43	-59.076	-23.557	15.0	5.8	0	1.916922612182061	2.772588722239781	0.0	0.0625	0.06062462181643484	0	0	faible	faible
01/09/1965	13:32:50	11.938	126.427	15.0	5.8	4418	1.916922612182061	2.772588722239781	8.39366870513074	0.0625	0.06062462181643484	2	1	elevee	elevee
01/10/1965	13:36:32	-13.405	166.629	35.0	6.7	486	2.0412203288596382	3.58351893845611	6.18826412308259	0.027777777777777776	0.02739897418811444	2	1	elevee	elevee
01/12/1965	13:32:25	27.357	87.867	20.0	5.9	2247163	1.9315214116032138	3.044522437723423	14.62517953470793	0.047619047619047616	0.04652001563489285	1	1	moderee	elevee
01/15/1965	23:17:42	-13.309	166.212	35.0	6.0	486	1.9459101490553132	3.58351893845611	6.18826412308259	0.027777777777777776	0.02739897418811444	2	1	elevee	elevee
01/16/1965	11:32:37	-56.452	-27.043	95.0	6.0	0	1.9459101490553132	4.564348191467836	0.0	0.010416666666666666	0.010362787035546583	0	0	faible	faible
01/17/1965	10:43:17	-24.563	178.487	565.0	5.8	0	1.916922612182061	6.338594078203183	0.0	0.0017667844522968198	0.0017652255245691366	0	0	faible	faible
01/17/1965	20:57:41	-6.807	108.988	227.9	5.9	1575300	1.9315214116032138	5.433285226958521	14.269956923093579	0.00436871996505024	0.0043592048106148515	1	1	moderee	elevee
01/24/1965	00:11:17	-2.608	125.952	20.0	8.2	0	2.2192034840549946	3.044522437723423	0.0	0.047619047619047616	0.04652001563489285	0	2	faible	moderee
01/29/1965	09:35:30	54.636	161.703	55.0	5.5	0	1.8718021769015913	4.02535169073515	0.0	0.017857142857142856	0.017699577099400916	0	0	faible	faible
02/01/1965	05:27:06	-18.697	-177.864	482.9	5.6	0	1.8870696490323797	6.181878273799273	0.0	0.0020665426741062203	0.0020644103120337244	0	0	faible	faible
02/02/1965	15:56:51	37.523	73.251	15.0	6.0	9110	1.9459101490553132	2.772588722239781	9.117237753713859	0.0625	0.06062462181643484	2	1	elevee	elevee
02/04/1965	03:25:00	-51.84	139.741	10.0	6.1	0	1.9600947840472698	2.3978952727983707	0.0	0.09090909090909091	0.08701137698962977	0	0	faible	faible
02/04/1965	05:01:22	51.251	178.715	30.3	8.7	0	2.272125885509337	3.4436180975461075	0.0	0.03194888178913738	0.03144913268250332	0	-1	faible	anomalie
02/04/1965	06:04:59	51.639	175.055	30.0	6.0	0	1.9459101490553132	3.4339872044851463	0.0	0.03225806451612903	0.0317486983145803	0	0	faible	faible
02/04/1965	06:37:06	52.528	172.007	25.0	5.7	0	1.9021075263969205	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
02/04/1965	06:39:32	51.626	175.746	25.0	5.8	0	1.916922612182061	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
02/04/1965	07:11:23	51.037	177.848	25.0	5.9	0	1.9315214116032138	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
02/04/1965	07:14:59	51.73	173.975	20.0	5.9	0	1.9315214116032138	3.044522437723423	0.0	0.047619047619047616	0.04652001563489285	0	0	faible	faible
