Date,Time,Latitude,Longitude,Depth,Magnitude,population_impacted
01/02/1965,13:44:18,19.246,145.616,131.6,6.0,0
01/04/1965,11:29:49,1.863,127.352,80.0,5.8,34100
01/05/1965,18:05:58,-20.579,-173.972,20.0,6.2,4798
01/08/1965,18:49:43,-59.076,-23.557,15.0,5.8,0
01/09/1965,13:32:50,11.938,126.427,15.0,5.8,4418
01/10/1965,13:36:32,-13.405,166.629,35.0,6.7,486
01/12/1965,13:32:25,27.357,87.867,20.0,5.9,2247163
01/15/1965,23:17:42,-13.309,166.212,35.0,6.0,486
01/16/1965,11:32:37,-56.452,-27.043,95.0,6.0,0
01/17/1965,10:43:17,-24.563,178.487,565.0,5.8,0
01/17/1965,20:57:41,-6.807,108.988,227.9,5.9,1575300
01/24/1965,00:11:17,-2.608,125.952,20.0,8.2,0
01/29/1965,09:35:30,54.636,161.703,55.0,5.5,0
02/01/1965,05:27:06,-18.697,-177.864,482.9,5.6,0
02/02/1965,15:56:51,37.523,73.251,15.0,6.0,9110
02/04/1965,03:25:00,-51.84,139.741,10.0,6.1,0
02/04/1965,05:01:22,51.251,178.715,30.3,8.7,0
02/04/1965,06:04:59,51.639,175.055,30.0,6.0,0
02/04/1965,06:37:06,52.528,172.007,25.0,5.7,0
02/04/1965,06:39:32,51.626,175.746,25.0,5.8,0
02/04/1965,07:11:23,51.037,177.848,25.0,5.9,0
02/04/1965,07:14:59,51.73,173.975,20.0,5.9,0
02/04/1965,07:23:12,51.775,173.058,10.0,5.7,0
02/04/1965,07:43:43,52.611,172.588,24.0,5.7,0
02/04/1965,08:06:17,51.831,174.368,31.8,5.7,0
02/04/1965,08:33:41,51.948,173.969,20.0,5.6,0
02/04/1965,08:40:44,51.443,179.605,30.0,7.3,0
02/04/1965,12:06:08,52.773,171.974,30.0,6.5,0
02/04/1965,12:50:59,51.772,174.696,20.0,5.6,0
02/04/1965,14:18:29,52.975,171.091,25.0,6.4,0
02/04/1965,15:51:25,52.99,170.874,25.0,5.8,0
02/04/1965,18:34:12,51.536,175.045,25.0,5.8,0
02/04/1965,19:44:04,13.245,-44.922,10.0,5.8,0
02/04/1965,22:30:03,51.812,174.206,10.0,5.7,0
02/05/1965,06:39:50,51.762,174.841,25.0,5.7,0
02/05/1965,09:32:11,52.438,174.321,39.5,6.3,0
02/05/1965,13:38:47,51.946,173.84,30.0,5.7,0
02/05/1965,20:47:12,51.738,174.566,20.0,6.0,0
02/05/1965,22:16:02,51.487,176.558,30.4,5.6,0
02/06/1965,01:40:32,53.008,-162.008,17.8,6.4,0
02/06/1965,04:02:54,52.184,175.505,27.7,6.2,0
02/06/1965,07:14:45,52.076,172.918,30.1,5.6,0
02/06/1965,12:22:28,51.744,175.213,37.4,5.7,0
02/06/1965,14:11:11,52.057,174.116,17.5,5.7,0
02/06/1965,16:50:29,53.191,-161.859,22.5,6.3,0
02/06/1965,18:10:30,51.447,176.469,25.2,5.8,0
02/07/1965,02:17:08,51.258,173.393,17.7,5.7,0
02/07/1965,04:11:22,52.031,175.411,25.0,5.7,0
02/07/1965,09:25:52,51.294,179.092,25.0,5.8,0
02/08/1965,15:46:52,55.223,165.426,32.5,5.9,615
02/09/1965,05:42:05,-18.718,169.386,200.0,5.6,1030
02/09/1965,17:37:17,52.815,171.904,30.0,6.0,0
02/12/1965,00:55:10,52.188,172.752,25.0,5.8,0
02/15/1965,01:25:07,51.009,179.325,20.0,5.8,0
02/15/1965,10:43:29,3.026,125.951,100.0,5.9,0
02/16/1965,12:24:10,38.908,142.095,53.5,5.7,1084305
02/17/1965,10:18:51,51.694,176.446,30.0,5.7,0
02/17/1965,18:23:57,21.527,143.081,340.0,5.6,0
02/18/1965,04:26:37,25.011,94.186,55.0,5.6,854026
02/18/1965,22:39:48,-7.251,126.715,35.0,5.9,0
02/18/1965,23:13:40,51.415,179.358,40.4,5.8,0
02/21/1965,11:14:18,-15.343,-172.889,35.0,5.8,0
02/23/1965,22:11:47,-25.633,-70.679,35.0,7.0,23664
02/25/1965,04:51:29,-5.461,151.98,40.0,6.2,46321
02/25/1965,05:22:14,51.884,173.072,20.3,6.2,0
02/26/1965,23:36:14,6.746,-72.971,160.0,5.6,4340448
02/27/1965,07:46:25,28.133,-112.208,10.0,6.0,22605
03/01/1965,07:20:56,-5.377,152.115,30.0,5.9,42644
03/01/1965,08:18:57,21.104,121.218,30.0,5.7,25087
03/01/1965,09:08:48,-5.371,152.055,40.0,5.5,46321
03/01/1965,13:20:57,21.122,121.148,30.0,5.6,25087
03/01/1965,19:22:04,52.204,173.911,33.6,5.7,0
03/01/1965,21:32:14,15.404,-92.623,105.2,5.6,924435
03/02/1965,22:00:05,38.399,28.226,10.0,5.8,12576347
03/03/1965,14:39:02,-27.145,-177.262,15.0,5.6,0
03/03/1965,15:14:08,-5.514,151.819,14.8,6.7,62309
03/03/1965,16:47:28,53.046,171.308,25.7,6.3,0
03/04/1965,01:48:56,-5.487,146.993,200.0,5.7,0
03/05/1965,06:15:04,50.928,179.511,30.0,5.5,0
03/05/1965,13:42:47,52.39,174.937,35.0,5.6,0
03/05/1965,14:32:18,-27.027,-63.214,560.8,5.8,20774
03/05/1965,17:59:16,52.416,174.239,35.0,5.6,0
03/06/1965,11:10:51,-18.425,-132.923,10.0,5.6,0
