Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,population_impacted,geometry
01/02/1965,13:44:18,19.246,145.616,Earthquake,131.6,,,6.0,MW,,,,,,,0,POINT (145.616 19.246)
01/04/1965,11:29:49,1.863,127.352,Earthquake,80.0,,,5.8,MW,,,,,,,34100,POINT (127.352 1.863)
01/05/1965,18:05:58,-20.579,-173.972,Earthquake,20.0,,,6.2,MW,,,,,,,4798,POINT (-173.972 -20.579)
01/08/1965,18:49:43,-59.076,-23.557,Earthquake,15.0,,,5.8,MW,,,,,,,0,POINT (-23.557 -59.076)
01/09/1965,13:32:50,11.938,126.427,Earthquake,15.0,,,5.8,MW,,,,,,,4418,POINT (126.427 11.938)
01/10/1965,13:36:32,-13.405,166.629,Earthquake,35.0,,,6.7,MW,,,,,,,486,POINT (166.629 -13.405)
01/12/1965,13:32:25,27.357,87.867,Earthquake,20.0,,,5.9,MW,,,,,,,2247163,POINT (87.867 27.357)
01/15/1965,23:17:42,-13.309,166.212,Earthquake,35.0,,,6.0,MW,,,,,,,486,POINT (166.212 -13.309)
01/16/1965,11:32:37,-56.452,-27.043,Earthquake,95.0,,,6.0,MW,,,,,,,0,POINT (-27.043 -56.452)
01/17/1965,10:43:17,-24.563,178.487,Earthquake,565.0,,,5.8,MW,,,,,,,0,POINT (178.487 -24.563)
01/17/1965,20:57:41,-6.807,108.988,Earthquake,227.9,,,5.9,MW,,,,,,,1575300,POINT (108.988 -6.807)
01/24/1965,00:11:17,-2.608,125.952,Earthquake,20.0,,,8.2,MW,,,,,,,0,POINT (125.952 -2.608)
01/29/1965,09:35:30,54.636,161.703,Earthquake,55.0,,,5.5,MW,,,,,,,0,POINT (161.703 54.636)
02/01/1965,05:27:06,-18.697,-177.864,Earthquake,482.9,,,5.6,MW,,,,,,,0,POINT (-177.864 -18.697)
02/02/1965,15:56:51,37.523,73.251,Earthquake,15.0,,,6.0,MW,,,,,,,9110,POINT (73.251 37.523)
02/04/1965,03:25:00,-51.84,139.741,Earthquake,10.0,,,6.1,MW,,,,,,,0,POINT (139.741 -51.84)
02/04/1965,05:01:22,51.251,178.715,Earthquake,30.3,,,8.7,MW,,,,,,,0,POINT (178.715 51.251)
